33.56	33.6	33.5	33.62	33.5
31	31.18	31.03	30.9	30.97
28.6	28.69	28.47	28.53	28.44
26.75	26.56	26.69	26.72	26.45
25.19	25.03	25.04	25.08	25.24
23.78	23.84	23.79	23.72	23.79
22.57	22.56	22.44	22.5	22.44
21.38	21.31	21.25	21.15	21.22
20.34	20.41	20.25	20.1	20.38
19.56	19.44	19.44	19.34	19.35
18.09	18.25	18.21	18.12	18.07
17.84	17.46	17.09	17.22	17.42
